germany_solar_gen_last_week;germany_wind_gen_last_week
0.5;4689.0
0.5;4815.5
0.5;4996.75
0.5;5118.5
0.5;5268.5
0.5;5423.25
0.5;5572.5
0.5;5660.0
0.5;5771.25
0.5;5924.0
0.5;6026.75
0.5;6187.25
0.5;6384.25
0.5;6504.25
0.5;6628.25
0.5;6742.5
0.5;6865.25
0.75;7047.5
0.5;7138.0
0.5;7269.5
0.5;7369.0
0.75;7429.25
0.5;7427.75
0.75;7561.5
0.75;7711.75
1.0;7842.25
2.0;7884.75
15.5;7978.0
64.0;8138.75
143.0;8271.5
249.75;8354.25
377.25;8337.0
507.25;8375.25
631.75;8501.0
767.75;8696.75
916.5;8651.25
1067.0;8546.0
1216.0;8469.75
1337.5;8599.0
1418.0;8622.25
1502.75;8633.75
1603.75;8701.5
1638.5;8560.25
1666.5;8535.5
1643.5;8637.0
1604.0;8733.75
1571.25;8749.75
1470.5;8737.0
1345.5;8679.5
1207.5;8496.0
1070.75;8267.5
930.5;8099.75
788.5;7994.25
631.75;7792.25
479.0;7643.25
351.5;7440.5
221.75;7252.5
119.75;7078.5
51.25;7023.0
15.0;6806.5
2.5;6663.0
1.25;6509.5
0.75;6458.0
0.75;6500.0
1.25;6484.25
1.25;6459.5
0.75;6590.75
0.5;6514.5
0.5;6422.5
0.5;6422.75
0.5;6392.25
0.5;6278.0
0.5;6187.0
0.5;6136.25
0.5;6188.75
0.5;6191.0
0.5;6111.75
0.5;6116.0
0.5;6105.25
0.5;6102.5
0.5;5980.75
0.5;5859.25
0.5;5750.0
0.5;5695.5
1.0;5592.5
0.5;5455.5
0.5;5411.25
0.5;5350.0
0.5;5245.5
0.5;5102.75
0.5;4953.25
0.5;4880.25
0.5;4816.75
0.5;4751.5
0.5;4668.75
0.5;4709.0
0.5;4745.25
0.5;4797.5
0.5;4833.5
0.5;4881.5
0.5;4922.5
0.5;4952.0
0.5;5037.25
0.5;5100.25
0.5;5183.25
0.5;5202.0
0.5;5222.0
