"DateTime","Cena [EUR/t]"
"16.01.2025",78.33
"17.01.2025",79.26
"20.01.2025",79.99
"21.01.2025",80.27
"22.01.2025",78.94
"23.01.2025",80.76
"24.01.2025",81.67
"27.01.2025",79.36
"28.01.2025",80.26
"29.01.2025",82.95
"30.01.2025",82.66
"31.01.2025",83.93
"03.02.2025",80.96
"04.02.2025",80.88
"05.02.2025",81.12
"06.02.2025",81.93
"07.02.2025",82.28
"10.02.2025",82.94
"11.02.2025",82.59
"12.02.2025",80.29
"13.02.2025",78.05
"14.02.2025",79.75
"17.02.2025",77.21
"18.02.2025",75.74
"19.02.2025",74.02
"20.02.2025",72.67
"21.02.2025",73.9
"24.02.2025",73.66
"25.02.2025",71.75
"26.02.2025",71.02
"27.02.2025",72.78
"28.02.2025",71
"03.03.2025",71.55
"04.03.2025",68.5
"05.03.2025",68.79
"06.03.2025",67.32
"07.03.2025",68.63
"10.03.2025",69.01
"11.03.2025",68.24
"12.03.2025",69.62
"13.03.2025",70.6
"14.03.2025",70.99
"17.03.2025",70.11
"18.03.2025",71.3
"19.03.2025",73.44
"20.03.2025",73.01
"21.03.2025",71.45
"24.03.2025",71.52
"25.03.2025",70.46
"26.03.2025",70.83
"27.03.2025",68.54
"28.03.2025",68.8
"31.03.2025",67.98
"01.04.2025",69.86
"02.04.2025",68.55
"03.04.2025",66.06
"04.04.2025",63.82
"07.04.2025",62.84
"08.04.2025",62.06
"09.04.2025",60.94
"10.04.2025",62.12
"11.04.2025",64.82
"14.04.2025",66.51
"15.04.2025",66.19
"16.04.2025",66.97
"17.04.2025",65.89
"21.04.2025",65.89
"22.04.2025",64.39
"23.04.2025",66.9
"24.04.2025",66.31
"25.04.2025",66.43
"28.04.2025",65.31
"29.04.2025",64.85
"30.04.2025",66.55
"01.05.2025",67.02
"02.05.2025",68.76
"05.05.2025",67.47
"06.05.2025",69.27
"07.05.2025",71.06
"08.05.2025",70.72
"09.05.2025",70.39
"12.05.2025",73.41
"13.05.2025",72.9
"14.05.2025",72.33
"15.05.2025",73.41
"16.05.2025",70.99
"19.05.2025",70.42
"20.05.2025",73.18
"21.05.2025",72.74
"22.05.2025",72.15
"23.05.2025",71.56
"26.05.2025",73.03
"27.05.2025",71.76
"28.05.2025",72.07
"29.05.2025",70.94
"30.05.2025",70.41
"02.06.2025",70.91
"03.06.2025",72.6
"04.06.2025",72.61
"05.06.2025",72.74
"06.06.2025",73.5
"09.06.2025",74.23
"10.06.2025",72.66
"11.06.2025",74.36
"12.06.2025",75.39
"13.06.2025",75.94
"16.06.2025",75.34
"17.06.2025",74.64
"18.06.2025",74.61
"19.06.2025",72.74
"20.06.2025",72.97
"23.06.2025",73.27
"24.06.2025",73.54
"25.06.2025",71.15
"26.06.2025",70.4
"27.06.2025",70.96
"30.06.2025",68.97
"01.07.2025",70.58
"02.07.2025",71.93
"03.07.2025",72.06
"04.07.2025",71.67
"07.07.2025",71.2
"08.07.2025",70.42
"09.07.2025",70.39
"10.07.2025",70.74
"11.07.2025",70.55
"14.07.2025",70.42
"15.07.2025",71.51
"16.07.2025",71.31
"17.07.2025",70.55
"18.07.2025",69.89
"21.07.2025",69.83
"22.07.2025",69.11
"23.07.2025",69.36
"24.07.2025",70.88
"25.07.2025",71.34
"28.07.2025",70.65
"29.07.2025",73.08
"30.07.2025",72.86
"31.07.2025",72.66
"01.08.2025",71.04
"04.08.2025",70.85
"05.08.2025",71.59
"06.08.2025",70.99
"07.08.2025",71.77
"08.08.2025",73.21
"11.08.2025",72.37
"12.08.2025",71.5
"13.08.2025",71.74
"14.08.2025",70.96
"15.08.2025",70.68
"18.08.2025",71.82
"19.08.2025",71.16
"20.08.2025",71.29
"21.08.2025",72.62
"22.08.2025",72.53
"25.08.2025",72.19
"26.08.2025",72.75
"27.08.2025",72.24
"28.08.2025",71.72
"29.08.2025",72.99
"01.09.2025",73.97
"02.09.2025",73.61
"03.09.2025",74.95
"04.09.2025",75.44
"05.09.2025",76.04
"08.09.2025",77.17
"09.09.2025",76.9
"10.09.2025",77.1
"11.09.2025",75.54
"12.09.2025",75.77
"15.09.2025",76.75
"16.09.2025",77.51
"17.09.2025",76.98
"18.09.2025",77.84
"19.09.2025",77.55
"22.09.2025",76.21
"23.09.2025",76.79
"24.09.2025",76.02
"25.09.2025",75.76
"26.09.2025",75.98
"29.09.2025",76.79
"30.09.2025",75.72
"01.10.2025",76.33
"02.10.2025",77.43
"03.10.2025",79.16
"06.10.2025",78.75
"07.10.2025",78.31
"08.10.2025",79.01
"09.10.2025",79.23
"10.10.2025",79.68
"13.10.2025",78.12
"14.10.2025",76.92
"15.10.2025",77.88
"16.10.2025",79.51
"17.10.2025",79.46
"20.10.2025",79.82
"21.10.2025",79.58
"22.10.2025",78.46
"23.10.2025",78.44
"24.10.2025",78.32
"27.10.2025",77.77
"28.10.2025",78.32
"29.10.2025",78.81
"30.10.2025",78.67
"31.10.2025",78.54
"03.11.2025",81.2
"04.11.2025",82.31
"05.11.2025",81.49
"06.11.2025",80.17
"07.11.2025",79.47
"10.11.2025",79.96
"11.11.2025",80.65
"12.11.2025",81.91
"13.11.2025",81.34
"14.11.2025",80.93
"17.11.2025",79.92
"18.11.2025",81.22
"19.11.2025",80.66
"20.11.2025",81.36
"21.11.2025",80.41
"24.11.2025",80.61
"25.11.2025",81.87
"26.11.2025",81.68
"27.11.2025",82.21
"28.11.2025",83.26
"01.12.2025",82.64
"02.12.2025",81.82
"03.12.2025",81.79
"04.12.2025",82.43
"05.12.2025",81.98
"08.12.2025",81.98
"09.12.2025",82.85
"10.12.2025",82.42
"11.12.2025",83.9
"12.12.2025",83.79
"15.12.2025",85
"16.12.2025",87.36
"17.12.2025",86.8
"18.12.2025",86.48
"19.12.2025",87.05
"22.12.2025",87.48
"23.12.2025",88.54
"24.12.2025",88.01
"26.12.2025",88.01
"29.12.2025",87.46
"30.12.2025",87.28
"31.12.2025",87.37
